id_estacion,nombre_estacion,long_estacion,lat_estacion,domicilio_estacion,tipo_estacion,observaciones,horario_estacion
86.0,Saavedra,-58.401720369330704,-34.621356081357696,Saavedra 1027 entre Carlos Calvo Y Humberto 1º,AUTOMÁTICA,Septiembre 2016,Estación automática: disponibilidad las 24 horas
87.0,Guayaquil,-58.431535896984606,-34.6198285372612,Guayaquil 213 y Doblas,AUTOMÁTICA,Nueva! Septiembre 2016,Estación automática: disponibilidad las 24 horas
88.0,Misiones,-58.404230050846,-34.6128670912616,Misiones entre Adolfo Alsina y Moreno,AUTOMÁTICA,Agosto de 2016,Estación automática: disponibilidad las 24 horas
89.0,Cabello,-58.4053126989307,-34.5824723755753,Cabello entre Cnel Díaz y Ortiz de Ocampo,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
90.0,Gutiérrez,-58.399368569691,-34.5871172067942,Juan Maria Gutiérrez entre Aguero y Laprida,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
91.0,Pasco,-58.397547065967906,-34.6174914920679,Pasco 708 entre Chile y Av Independencia,AUTOMÁTICA,Julio 2016,Estación automática: disponibilidad las 24 horas
92.0,Salcedo,-58.4050191499757,-34.6317246877284,Salcedo 2908 y Dean Funes,AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
93.0,Carlos Calvo,-58.39476949340071,-34.6206013403211,Carlos Calvo y Sarandí,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
94.0,Guzmán,-58.449442063758795,-34.5918191166975,Guzmán y Leiva,AUTOMÁTICA,Nueva estación! - Enero 2016,Estación automática: disponibilidad las 24 horas
95.0,Esmeralda,-58.3781735400286,-34.6020919024436,Esmeralda 510,AUTOMÁTICA,Nueva estación! - Febrero 2016,Estación automática: disponibilidad las 24 horas
96.0,Carlos Gardel,-58.4115848948388,-34.602891143934,Guardia Vieja 3302,AUTOMÁTICA,Junio 2016,Estación automática: disponibilidad las 24 horas
97.0,Avelino Díaz,-58.4274014111176,-34.6352502807008,Avelino Díaz 499 y Doblas,AUTOMÁTICA,Nueva! Septiembre 2016,Estación automática: disponibilidad las 24 horas
98.0,Moreno,-58.378121718966895,-34.6117139986102,Moreno 834 entre Tacuarí y Piedras,AUTOMÁTICA,Julio 2016,Estación automática: disponibilidad las 24 horas
99.0,Malabia,-58.435615487267285,-34.5962805421679,Malabia 780 y Loyola,AUTOMÁTICA,Junio 2016,Estación automática: disponibilidad las 24 horas
100.0,Castillo,-58.4367711514498,-34.592706718923395,Castillo 815 entre Thames y Serrano,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
101.0,Fitz Roy,-58.4424227041164,-34.5890491463383,Fitz Roy 1092 y Loyola,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
102.0,Roseti,-58.4459867498295,-34.5864398918839,Roseti 50 y Av Dorrego,AUTOMÁTICA,Septiembre 2017,Estación automática: disponibilidad las 24 horas
103.0,Malba,-58.4035331506686,-34.5774146206859,Av Figueroa Alcorta y San Martín de Tours,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
104.0,Federico Lacroze,-58.4550621945096,-34.5875483636412,Av Corrientes 6800 y Federico Lacroze,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
105.0,15 de Noviembre,-58.4009623109061,-34.6339776263697,15 de Noviembre de 1889 2687 entre Catamarca y Jujuy,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
106.0,Rincón,-58.3958974659054,-34.6151962004792,Venezuela 2091 y Rincón,AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
107.0,Hospital Garrahan,-58.3959443595269,-34.630437687185,Hospital Garrahan: Av Brasil y Pichincha,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
108.0,Usina del Arte,-58.35625741449929,-34.6287807815099,Caffarena Agustín y Don Pedro de Mendoza,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
109.0,Lerma,-58.4295906822899,-34.5966937447772,Lerma 185 y Julián Álvarez,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
110.0,Guardia Vieja,-58.415459396243,-34.6017606028946,Guardia Vieja 3606 entre Billinghurst y Mario Bravo,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
111.0,Macacha Güemes,-58.3629996585557,-34.6049691631744,Macacha Guemes y Juana Manso,,,
112.0,9 de Julio,-58.38076631152289,-34.6123893028971,9 de Julio y Moreno,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
113.0,Guatemala,-58.42520465764979,-34.5856694443182,Guatemala 4799 entre J.L. Borges y Gurruchaga,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
114.0,Della Paolera,-58.3725350641629,-34.5947530965532,Carlos M. Della Paolera 297 entre Leandro N Alem y Eduardo Madero,AUTOMÁTICA,Noviembre 2016,Estación automática: disponibilidad las 24 horas
115.0,Quintana,-58.3907862838861,-34.5878120499245,Manuel Quintana 600,AUTOMÁTICA,Noviembre 2016,Estación automática: disponibilidad las 24 horas
116.0,Hospital Alemán,-58.4025983842195,-34.59210424090089,Beruti y Ecuador,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
117.0,Humberto Primo,-58.3742180079119,-34.6199404395595,Perú 1016 entre Humberto Primo y Carlos Calvo,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
118.0,México,-58.4028266768832,-34.6168125831672,Saavedra y México,AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
119.0,Emilio Mitre,-58.397684271763296,-34.5883718391208,Plaza Emilio Mitre - Larrea y Pacheco de Melo,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
120.0,Hospital Ramos Mejía,-58.409110475451705,-34.6175490894938,"Agrelo entre  Gral. Urquiza, y Gral. La Rioja",AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
121.0,Yatay,-58.428267593013494,-34.6008183886904,Yatay 925 entre Humahuaca y Guardia Vieja,AUTOMÁTICA,Noviembre 2016,Estación automática: disponibilidad las 24 horas
122.0,Costa Rica,-58.4204074371223,-34.5916244590276,Costa Rica 4090 y Acuña de Figueroa,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
123.0,Armenia,-58.421044153603795,-34.5854242215495,Armenia 2393 y Charcas,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
124.0,Ugarteche,-58.412313560298394,-34.5810816066871,Ugarteche entre Cabello y Las Heras,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
125.0,Oro,-58.4282171673392,-34.5834801072487,Fray Justo Santamaria de Oro y Guatemala,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
126.0,Ministerio de Justicia y Seguridad,-58.369430546477396,-34.63997121461629,Regimiento de Patricios y Aráoz de Lamadrid,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
127.0,Santos Dumont y Otero,-58.4529268261496,-34.5922124775116,Santos Dumont 4380 y Otero,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
128.0,Plaza Hipólito Bouchard,-58.3682319681783,-34.6041288551832,Plaza Hipólito Bouchard - Av Eduardo Madero y Perón Juan,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
129.0,Velasco,-58.434954874725705,-34.600164664861104,Velasco 285 entre Julián Álvarez y Lavalleja,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
130.0,Retiro II,-58.3742850966173,-34.5919408626661,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
131.0,Retiro III,-58.3742100283191,-34.5918464928405,Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
132.0,Corrientes,-58.3736760826555,-34.6031208697631,Av Corrientes y San Martín,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
133.0,Nicaragua,-58.4343825082215,-34.581039917576,Nicaragua 5690 entre Bonpland y Fitz Roy,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
134.0,Don Bosco,-58.4155158417582,-34.6118758790199,Don Bosco y Virrey LIniers,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
135.0,Marcelo T. de Alvear,-58.3797648546651,-34.596455762618106,Marcelo T de Alvear y Suipacha,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
136.0,Acevedo,-58.4429012738521,-34.5998125732878,Acevedo y Padilla,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
137.0,Azopardo y Chile,-58.3674700069781,-34.6159263966689,Azopardo 700 y Chile,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
138.0,Hospital Británico,-58.387766665448396,-34.6349489594118,Perdriel y Finochietto Enrique,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
139.0,Virrey Liniers,-58.41315046869151,-34.6333089848092,Salcedo 3401 y Virrey Liniers,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
140.0,Las Casas,-58.415775044145796,-34.635148035031,Las Casas 3587 entre Av. Boedo y Alzaga,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
141.0,Solís y Alsina,-58.3904105537014,-34.611837952645196,Solís 225 y Adolfo Alsina,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
142.0,Armenia y Gorriti,-58.4288881956896,-34.590554215665996,Armenia 1525 entre Gorriti y Honduras,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
143.0,Billinghurst y Valentín Gomez,-58.4157587038097,-34.6046352325181,Billinghurst 455 y Valentín Gomez,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
144.0,Pueyrredón,-58.4057904124662,-34.601779712818605,Boulogne Sur Mer y Tucuman,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
145.0,Ravignani,-58.4378366120078,-34.5804694653892,Ravignani 1883 y Costa Rica,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
146.0,Hospital Francés,-58.4077875519753,-34.6221944542981,Hospital Francés: Carlos Calvo y La Rioja,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
